Region,Year,adolescent_fertility,"Fertility rate, total (births per woman)",gdp_per_capita,school_enrollment_primary,school_enrollment_secondary,school_enrollment_tertiary
North America,1994,53.5149866850911,1.96992004349026,26931.6393144953,104.086097717285,97.0060195922852,79.4912414550781
North America,1995,51.2761886190465,1.94687809424757,27897.9138475176,104.951843261719,95.1752319335938,80.5201187133789
North America,1996,48.8364742681281,1.94113841504531,29112.2143828557,103.924270629883,94.9397201538086,79.8092193603516
North America,1997,47.3904818463853,1.93070440009602,30518.0314990319,102.877571105957,95.1897430419922,74.581672668457
North America,1998,46.6191072476267,1.9550532551042,31691.9138489169,101.830909729004,95.4402618408203,69.374641418457
North America,1999,45.301965571088,1.96189832147897,33320.9142526674,101.14949798584,95.1175689697266,70.0455703735352
North America,2000,43.9721911182053,2.0017801371462,35151.3423951503,100.612861633301,94.7891082763672,66.9041595458984
North America,2001,41.4906397834177,1.98172752949388,35831.3822545067,100.225692749023,94.9032363891602,71.4757766723633
North America,2002,39.280028962502,1.97063664756916,36651.9146706158,99.8388900756836,95.0205917358398,76.0470733642578
North America,2003,37.9609191215796,1.99798632060273,38395.4332650274,100.462059020996,95.3166198730469,77.6197967529297
North America,2004,37.2764992939255,2.00259006988872,40788.3342265894,101.08585357666,95.616813659668,79.1841506958008
North America,2005,36.60774926135,2.00950797547804,43368.3808064534,101.580657958984,95.5295486450195,78.817008972168
North America,2006,37.3423748152398,2.06036599496071,45741.0180331153,101.985877990723,95.2545700073242,81.1327362060547
North America,2007,37.9547062747317,2.07513532420647,47727.505168113,102.441116333008,95.444580078125,82.1136474609375
North America,2008,37.3120097220585,2.03484935913273,48398.0892484061,102.839546203613,95.6483612060547,83.0395965576172
North America,2009,35.5128489518925,1.97074136696226,46581.128985109,101.993133544922,95.9278030395508,85.3464279174805
North America,2010,32.5325457869373,1.90276632812161,48552.818269355,101.325660705566,96.1022415161133,85.422981262207
North America,2011,29.6721294802682,1.86788372306598,50289.051161711,100.648780822754,96.3486862182617,85.7929763793945
North America,2012,27.6028091561769,1.85529848112987,51881.2875507901,100.087768554688,97.2844924926758,86.0839080810547
North America,2013,25.0950965231491,1.83264309116629,53341.1996899454,99.4475936889648,97.5356597900391,86.537956237793
North America,2014,22.8447259278473,1.8371666846801,54877.3545553215,99.6594161987305,98.2207565307617,86.5766830444336
North America,2015,20.8086703235612,1.81917836042279,55701.8124434679,100.261497497559,98.8826217651367,86.8301391601562
North America,2016,18.8680771855652,1.79746907683133,56617.8738074516,101.118072509766,99.890007019043,86.9818725585938
North America,2017,17.5028405218912,1.74388852457675,58796.4689001287,101.551818847656,100.061958312988,86.4678726196289
North America,2018,16.1715967568789,1.70728633507386,61512.706498042,101.055488586426,100.32991027832,86.455078125
North America,2019,15.5630105407816,1.68187958286351,63584.0377419401,100.689529418945,101.005256652832,86.3819427490234
North America,2020,15.0515208187011,1.61784531897909,62186.9899064628,100.067543029785,101.354026794434,86.2107009887695
North America,2021,15.1855665145841,1.64105384820809,69147.0491707873,98.1183471679688,101.911491394043,84.1577987670898
North America,2022,14.3758962097849,1.63034850690789,74980.8332051402,96.8812484741211,98.4523468017578,79.1600570678711
North America,2023,14.3758962097849,1.63034850690789,78675.4809268757,96.883903503418,98.4308700561523,79.1688003540039
